
Rewrite c349c0bf4e34ee69fc9672405e47a1d1dc20248f (1/352) (0 seconds passed, remaining 0 predicted)    
Rewrite f253a4c5c75054df357b7051e73fd8c98981410d (47/352) (2 seconds passed, remaining 12 predicted)    
Rewrite 6d0790a027fd1eb1c80a5340457d966646a163fd (47/352) (2 seconds passed, remaining 12 predicted)    
Rewrite 17be91071f54569619d690c1345ebbaafa069233 (47/352) (2 seconds passed, remaining 12 predicted)    
Rewrite ae9dcfaf1b72ba825ffa86ca849b0821a45908e5 (47/352) (2 seconds passed, remaining 12 predicted)    
Rewrite 91dca9f495bef77298aabb5271c639229e5d8ae5 (47/352) (2 seconds passed, remaining 12 predicted)    
Rewrite fcc3873700eab0f765d14da709530ae25c18f814 (47/352) (2 seconds passed, remaining 12 predicted)    
Rewrite 1e38f74645ef2085e633c7de026c0bce182238ba (47/352) (2 seconds passed, remaining 12 predicted)    
Rewrite 4e7b56d24d4e5f47b26960ede216304a6424897f (47/352) (2 seconds passed, remaining 12 predicted)    
Rewrite ec56a17683961de9db1540f232029e97886e12cb (47/352) (2 seconds passed, remaining 12 predicted)    
Rewrite 87ee0153634ca2c7241078cdb6470ce7e951a8c8 (47/352) (2 seconds passed, remaining 12 predicted)    
Rewrite 499c5bee1c2269584a13ab64f8f0e7ea7dd706e4 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite b72eaa6df291b857fd746a357976b6f5b079e2f9 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite f0a6da0bad79e5dbfebbf3bafcee5fdf602e5a38 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 6ba63786f777c6b89b381473613d5d8bb246fdf2 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite b0e3042765833bd3d5a8e3ed787874551a81c6e1 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite a6317d6e213e08e384a5a20d49253fda96e0481c (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 678f978cbc30f234e7b2d746ab5a98fb0a5b3f44 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite cbdc1204713e0f2507280ddc987b1b075c288aae (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 891345ce19f360eb447a45f32bb7733eadce9854 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite c1e2b1e2e4d187b70f9abe874086f7fec2af6c89 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 9081bc8fb130877811018780f206119399d7c25e (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 3dfbaba9b04e7ddc522474e883fa037b9f2d01a3 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 9eacb884716582035873c00e82c673c5c69d420a (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 128d67a4ce52bd1cf5be2b71758c016a87e5d657 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 1c97bdd9e6dfa472d3c67f8b404474cf0b466035 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 2ad722b2a46554036d31cbcdd070cbbac10349f5 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 2e1ecf4b033d7557433141e0b5ca23a8ece7b098 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 3b36b62494b2bb2cc537d38d0f17dbbe5b71fc64 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite c7f56d2c76197134e3f20599f30816b56ef65ae1 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 27de1cb77b8235a4407c8a994b818810f3c09130 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite c5f794c7e75c590bcc3e5bdc850de3ac6a5f08bf (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 20211b546b9bef6a97c3ab6e2ba4d30a5fafddab (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite fb3dd729306e94209abc53dbdb8dbae4ad263bf8 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 9d8d0823cd34d079aea2e9cc62c5838ad7c1ea1a (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 09617ec28c6cf53d8b71d99e71759bb9fdd5ae08 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 5a2564fc2d6143b73f213f9c61789f861491eb8a (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 287196ed7b550f51e61e36234d7c0f9970091e2c (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 625d464f9dcfe12e90d02c21abeea850eb9495df (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 5ebe5569dca5919ee67db6ddda9ca9237430ee67 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 7c3af29ca3d1c301616e59029881854a2c643ca9 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 9ee1eadb2ae6a46756ced2bdc6e03a757cfb46b3 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 01b318447e57be7716c59d22687bc374e026f700 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite f9c31f2ea27cddb9eff52d8945bd03e17932e07f (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 75ebbd0654db419b07f98483045b94a36e81e12f (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 8e2c9979847ebe233c6248a5bcecfecbb61cb08e (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 9b8c8f33aaa247e55aaa6da129016fdcb77a2ee0 (71/352) (2 seconds passed, remaining 7 predicted)    
Rewrite 538340334550a46c474e76faced35a783121fb23 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 2c0e7f4ad9e29cc314356e40bb76c813d6fbcc34 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite b345e89825ad5866658b1b3a4c3b01fc65b6c12d (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 1998d8f2b278022b81b006bfbe792804b01e0f0a (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite d867758c747a8aa7ea96a1a83a2308a43e1418d2 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 449addd5ebd215665f784117c55cb2e91fad12ce (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 45b5c96f0c6f1deb731836729b56204995f6bc15 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite cfbc0b9e71ad7b256aa63406a7e77ff450a5a7f0 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 7997b735521ddb33bf5087aa17b157853fcd7a0b (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 6d456b095279fc067918fc143e3c903702fce61b (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 855363167564fc7730c7155b1572e3562cf0d44b (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite ed5cf69ed39b8b64ab10508bd6d15a2d6dad26ad (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 7e9bdf2fe1ddacfce52f5097561aae4a006c83b3 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 4f532881334d7bb889206c311ed2c575953cbb24 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 8460ec3866aba5a298972f2533ec47583706572d (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 7f549588a96773645155655c69334a9cbd814a16 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite a5aa01e749e052d61152b770b5d48330783cee4d (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite ea9df14c6667b64f3d3f4bdcd1bca134f0ead5b8 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 2a7fecaa2015ca12326251439c16bc799353d6d4 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 9355083b1ec854ccd38b34a6954a10478455dfdc (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 99c763c31516b203fc94688208b2162583cc07b1 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 1e3ca07e78077247a49b11327f7650538e163ce6 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 56ec48d7d8dec57f99210ee2cbe3239222b3cdb1 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite ecb5b46a6061082509e5bbe72ff05bd86417c0be (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite f29ba17e20199e5a523c653ff7615b3b9eac252b (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 9b6a7214cebb96ec267da83969c0dbf6a972a01c (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite e60fb1642fc97c0d49ad1e61e3f6753cb561a9ff (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 3d1222e18914b5ae0e2454ccee592762381ad97b (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 8840be67d40d6bbabf409bd12392a900d7d24f57 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 15c4ad939d4c0800283d3f4b8d3b2e2dc86e991f (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite bca09f395e85bbe201ecf7cdea0a1db621729e53 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 5252e35a3b2edf600010ff28f1a1f76461818e4e (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 3b3dd68be00c6b827c48166560f418ad11955454 (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 3f6393f8f71d5cb40ccbf4222492f63a92cb922c (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 3cae42ac34deae745847de7be6bdad1b1310498e (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite 58af784e0be21a43beee917bd011f3ebdfd4652b (107/352) (3 seconds passed, remaining 6 predicted)    
Rewrite ced6956b1f830be326c1747e786a858ce354eefc (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite f861878d327b454062849d16752b6017df136cc2 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite ebc359a5bd6660ffd918ac8403fac834e927fc16 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 94deb6b3b1e81f023756607ce55ae56975e4e0b2 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite e750a3a5cfa16b9a1af62e290355165b2e4fded9 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 0461755a5cedce63b2524391d74c23b28a51f2a1 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 6abf485e7185b0b9e6116d42c8e4d5acce1ea0ed (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite e2bb6b7f82a932a1ca4b5a9aa704521c541cf03f (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 686954b2d94fe546b6c25e12c44c848d77856fbc (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite a3f2ebbd4b8e71de22146cdd5252956819c55f3c (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 8acdc99bba655289ea325e814a589557dbda23cf (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 1c709efdab5295cf304469850a1e50bfbecc6b04 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite cb45ac125035280a32ce504e4ff176eb3fa4c8e1 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 08aaa230b4dd888edf4c49f98a3831adc3a3476c (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite f0881a71ecfc71cda9ed61cde27f607d80d0ceb0 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 8d7b8b822bf6db0ad05fd5ca11e42ce0cf74700f (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 4e7474b2aee5db76d37c86990dc51f1de5a5b160 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite f9f0b5da3af2de94347f0ef3aa3030bf6a5ce368 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 9a21017d3816208c9efa556fb920fe3fbaab29e6 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 230bc4216910213d239c35d4c84e8459d66cd9ca (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 1bb1878c7860288572048840ff6d0624186b9f34 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite ea5220a7b79547e82de8d0fe0e9e31f2d5e4cb48 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 4305faa880d0f1b53d039ca6dffb0d94cef7edb3 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite dd94218850cfa34e806d00f440cdb5f93e1b6efd (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 5f476f223deb564a11d2260112cdaf0917d0b492 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite cb3dbce0eea5f093d01ca0bd0aa438995be3af15 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 251a4779a501fc5f9ab91c2d44fa6eb037a69486 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 0496517dd53d7ec6b7579b7fc10357e94b427e42 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 60e9166ce3bf5efe5fda49cfbe2a86be9fae2abf (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite bb10c4e152c160ec0306715c57fda270777b71cf (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 9ca8345341a85873838be0ee758f92acc232a9eb (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 23a2b68c23b2880bdb93f0160f86092b14fe6e56 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 87b6d2e74c809a3de6f3af7245ef891a4a9a4f62 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 863c22f360be783884f614a4a8db675bab85c80a (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite 67f91c1c9a448b6241b22bc108b1deac4d552c83 (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite f94a1ed94ef1acc3182f3442ae5971e3abf69c6c (143/352) (4 seconds passed, remaining 5 predicted)    
Rewrite d103e46bf836081da388a4708dc5fba5421c7d46 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 49b4fb441148a8b9d10eb2b7af663c02d22d579b (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite bcc509b71682a64717bbb4a9cf2624d4eb7e7a8a (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 412938e922f01221438534d00212315db0e34ef0 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 7e912e90b2390a39ea4e426729ac92bf11b72c09 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite e07145621e045dd582fbb795e69691faaf8de6da (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite dd570631a441cbc1617d6baceebc0929a6428e67 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite d24db1ff2c68e7f8dd3b16de53b8f986c9dafac5 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 23c402f61e353eca362483b629a1de4ee4d39869 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 406e77f4e33682bf5015f1e08382f0d5759caf5a (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 5b7a5710780ade4c7429c499d576c240357609e8 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite dd54635f74ea1a27b29bbe05c89983f5501130b1 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 55ab59d5395bdfead26ee8bb336c619192be7d45 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite dded49dbde0eee78fcbd5e73694d2de5f7bcaa2a (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite b673c07425d89fea5e682374c4706977f617c0a3 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 16db499769654fe1a2e52e8bc63b2031d64987fe (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 2072faa8b7acb474a1b99ff05916bab61c8276ff (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 88af87088543c99eef1d68dd185e365206421afc (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 6eaffd8b1f2ca0b766e0807973fd58a1cce3c37a (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 658f0aeb4822a1aca4d95819d3e834245611964b (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 1f0b840708abd0f6d0975bcb79cab810269b8e9e (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 5c388c841dbc42dda218d0ec89e000c552d130c7 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite bf663db5c6ff8410a0111721147a5d7fabf2b88a (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 59a44bf17a8ed00dd34360cfaf10fd3d67f64aaa (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite c539d88af8d4f78b30e3fc4f2516d863cc0e90dd (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 357a4ca2f9f4966bb97cfa1e03fb3480ee705c45 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 06d1c39004dc7ce4fec83db787642ae758873a8f (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite f2d6024a6b887766b0f0d76bdca2749b8842e602 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 59c05eb786a5b4ef616a85798fdd265370ab447d (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite a8afc5bd7630baa9cecc5da972272b6777920e15 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 8fa1752e8ccdf970db13bea93dcbb05ca175fc19 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite e5a8f6567d148474c88d11a338078796902a0b9e (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 1186bb5759de32bf6b9c041a4e75592e7a752edd (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 08d6fff91e6741d749647fdde7239f87299f1396 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite fe1ee670a09961a049dfbb723f4fb3ef7d27adfe (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite 85435d9c330de9c52f60d5ce53f6abad53fddc25 (179/352) (5 seconds passed, remaining 4 predicted)    
Rewrite e370406829a0d381abdbabaa17bb747b1485e0b9 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 18b9bfbb5f0fccd0174ca0f30430cd4c0888eead (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite f18ebbce89db8a8fdcbd770ba4a4ca3a34e441a8 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 098d6129176f6f49a11a64f6e04465933ee69a8c (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 072a00cde0e120a9a1ecbd303593d21a5de6df51 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 0f202f5c82a2657bd14fcf75c9619888e33a135f (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 0145852225210b605f53b9be0a0dbf7f2658e2c1 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 0a1643249d8e33e5d6ceec14148e66f4b17393d0 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 7f5d85f320945db632e27deebe14cf4fc325f644 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite e9a6bc6f5260a1fe78b68d8357525fb4307438c7 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 3bc3640cfc23e49cd6041e3b701c38bb85406a42 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 007db8f689a15f77bfff022abda0c449aeb31948 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 24b84e1600f3e2c534f813930a74bbdf817b3267 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite bb85d93ae1c9ec23de70594ef8c3c7a29916ed5a (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 68e61cb75dc2da521ec9e536da846d2174749fa1 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite b0f67e507ffbd6bfd78d66a1f78f0eb0029ad9ae (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 4912d772ccadc21f417f2cf5e04e7d190bee8d11 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite b086dd91a7fd2181bd15ef35be9695a5ec8e7943 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 9a7d1a7e681c586397f85a71635e9eaf1bbe0c77 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite d7b130ed58f103a172fcf9f2779ab8fa6301fff5 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 15c93fe387f65c6ff63ea99d5b40b4186d7cadfe (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite fafd58036fa65261c9f323697fcc0144e3d131e6 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 04a10fd6d87f9cc10a4b86e0dfd7ec7af9fbd70e (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 4c9fbd7b1e6fa86c751c2214adc84755d721a2e2 (215/352) (6 seconds passed, remaining 3 predicted)    
Rewrite 0612ab1dbba9d28f8100975169ece9c94cf484a0 (215/352) (6 seconds passed, remaining 3 predicted)    
